id,nombre,pais,Theme,Trama
py_01,Teju Jagua,Paraguay,Maternidad,"1. Teju Jagua, guardián de las cavernas, encuentra a una joven perdida en su reino subterráneo. Al ayudarla a escapar, descubre un complot para robar las riquezas que protege.

2. Teju Jagua, en su búsqueda de frutas exóticas, se topa con un misterioso espíritu de la selva que le ofrece un pacto: a cambio de su protección, deberá enfrentar a un peligroso hechicero que amenaza con destruir la armonía de la naturaleza."
py_01,Teju Jagua,Paraguay,Arrogancia,"1. Teju Jagua, guardián de las cavernas, es tentado por un aventurero arrogante que busca tesoros. El protagonista se enfrenta a una elección: ceder a la codicia o mantener su naturaleza pacífica.
2. Teju Jagua, con sus siete cabezas de perro, es adorado por una tribu local como un dios protector. Pero un poderoso chamán cree que la criatura es una amenaza y busca destruirla."
py_02,Mbói Tu’i,Paraguay,Progreso,"1. El guardián de los ríos: Los pescadores locales buscan la ayuda de Mbói Tu'i para calmar las turbulentas aguas de un río desbocado, y él les enseña a respetar el equilibrio natural.
2. La maldición de la serpiente: Un hechicero envidioso lanza una maldición que transforma a Mbói Tu'i en una serpiente gigante. Solo el amor incondicional de un niño inocente puede romper el hechizo."
py_02,Mbói Tu’i,Paraguay,Convención y rebelión,"1. El guardián de los ríos es traicionado por un pescador local que contamina las aguas con basura y desechos tóxicos. Mbói Tu’i, enfurecido, invoca una inundación para castigar al pueblo, pero una niña valiente se ofrece a enmendar sus errores.

2. Mbói Tu’i, protector de la flora y fauna acuática, observa cómo una empresa maderera tala árboles cerca del río, poniendo en peligro el delicado equilibrio ecológico. Un joven activista local descubre su secreto y juntos forman una alianza para salvar su hogar."
py_03,Moñái,Paraguay,Libre albedrío,"1. Moñái, protector de los ladrones, usa sus poderes hipnóticos para recuperar objetos robados por otros, manteniendo un equilibrio justo en el mundo subterráneo criminal.

2. Porãsy, una valiente joven, descubre que su destino está ligado a Moñái. Debe decidir entre unirse a él como aliada o desafiarlo para proteger al pueblo de sus encantos hipnóticos."
py_03,Moñái,Paraguay,Propósito,"1. Moñái, protector de los ladrones, usa sus poderes hipnóticos para atraer a sus víctimas a su cueva. Pero un día, un ladrón arrepentido busca su ayuda para devolver lo robado y redimirse.

2. La doncella Porãsy, valiente y sacrificada, derrota a Moñái y a sus hermanos. Sin embargo, su espíritu sobrevive y busca venganza, acechando a los descendientes de Porãsy."
py_04,Jasy Jateré,Paraguay,Propósito,"1. Jasy Jateré, el duende de la siesta, descubre que su vara dorada también puede curar a los niños enfermos que encuentra en la selva, pero debe enfrentarse a los espíritus de la naturaleza que protegen las hierbas curativas.

2. El cuarto hijo de Tau y Keraná encuentra una entrada secreta a un mundo subterráneo lleno de tesoros y criaturas míticas. Debe decidir entre explorar este nuevo mundo o continuar con su tarea de vigilar a los niños durante la siesta."
py_04,Jasy Jateré,Paraguay,Conservación,"1. Jasy Jateré, el cautivador de niños, es capturado por un curandero que busca proteger a los pequeños de la aldea. El curandero intenta rehabilitarlo, pero Jasy escapa y trama su venganza.

2. Un chamán descubre que Jasy Jateré es controlado por un espíritu ancestral poderoso. El chamán se enfrenta a este espíritu en una batalla sobrenatural para liberar al duende de su influencia maligna."
py_05,Kurupí,Paraguay,Desinterés,"1. Kurupí, con su miembro viril, seduce a las mujeres para enseñarles el arte de la seducción y el placer, convirtiéndolas en expertas en el arte del amor.

2. Kurupí, guardián de la selva, protege a los animales y castiga a aquellos que osan dañar la naturaleza, utilizando su poder para atraer y atrapar a los infractores."
py_05,Kurupí,Paraguay,Celebración,"1. Durante una celebración, Kurupí, conocido por su poder sobre los animales silvestres, decide usar su don para atraer a las mujeres. Con su encanto y su miembro viril, seduce y rapta a las mujeres, dejando a los hombres del pueblo desesperados.
2. En la víspera de un festival, Kurupí descubre un antiguo ritual que le otorga el poder de controlar las mentes de aquellos que desean. Utiliza este poder para crear un harén de mujeres cautivas, manteniéndolas bajo su hechizo."
py_06,Ao Ao,Paraguay,Desinterés,"1. Ao Ao, la temible criatura, siente un repentino desinterés por la carne humana. En su lugar, desarrolla un gusto por la carne de los árboles mbokaja, poniendo en peligro a los humanos que buscan refugio en ellos.

2. El sexto hijo de Tau y Keraná, Ao Ao, descubre un antiguo hechizo que le permite controlar la mente de aquellos a quienes persigue, haciéndoles creer que son sus aliados y llevándolos a un destino fatal."
py_06,Ao Ao,Paraguay,Colonialismo,"1. Ao Ao, la temible criatura, es capturada por un explorador español durante la época colonial. Encerrado en una jaula, es exhibido como una curiosidad en las cortes europeas, pero logra escapar sembrando el terror en una ciudad extranjera.

2. Un joven chamán, descendiente de Tau y Keraná, busca la forma de proteger a su pueblo de los feroces ataques de Ao Ao. A través de visiones y sueños, descubre un antiguo ritual que puede aplacar la furia de la bestia."
py_07,Luisón,Paraguay,Orgullo,"1. Luisón, el guardián de los cementerios, se enfrenta a un poderoso hechicero que busca robar la energía de los muertos para alcanzar la inmortalidad.

2. Luisón, dividido entre su forma humana y su naturaleza bestial, emprende un viaje espiritual para aceptar su verdadera identidad y encontrar la paz."
py_07,Luisón,Paraguay,Recuerdos,"1. Luisón, un guardián de la muerte, se enfrenta a un poderoso hechicero que busca la inmortalidad, robando almas de los cementerios.

2. Luisón, el séptimo hijo, lucha por controlar su transformación y proteger a su familia de las fuerzas oscuras que buscan aprovechar su poder."
py_08,Pombero,Paraguay,Ambiciones,"1. El Pombero, guardián de la selva paraguaya, descubre una conspiración para talar su preciado hogar. Con sus poderes traviesos, comienza a aterrorizar a los madereros, saboteando su equipo y asustándolos en la noche.

2. El pequeño duende es adorado por las comunidades locales, pero un día, un niño se pierde en la selva. El Pombero, con su conocimiento de la naturaleza, se embarca en una misión para rescatar al niño y devolverlo sano y salvo a su familia."
py_08,Pombero,Paraguay,Odio,"1. El odio de los humanos por la naturaleza despierta la ira del Pombero, quien decide vengarse causando estragos en las aldeas y castigando a aquellos que destruyen su amado hogar.

2. El Pombero, enfurecido por la tala indiscriminada de árboles, decide enseñar una lección a los aldeanos. Utiliza sus poderes para invocar una tormenta devastadora que destruye sus cultivos y les obliga a respetar el equilibrio natural."
py_09,Mala Visión,Paraguay,Comunicación,"1. Un curandero paraguayo descubre que puede curar a los enfermos a través de la selva. Habla con los árboles y las plantas, que le susurran secretos y remedios.

2. El espíritu de una mujer celosa se manifiesta en la selva, revelando una antigua habilidad de comunicación con los animales salvajes. Los usa para castigar a los hombres infieles."
py_09,Mala Visión,Paraguay,Compañerismo,"1. Un curandero paraguayo, con su don de visión, guía a los viajeros a través de la selva, protegiéndolos de los espíritus malignos.

2. El chamán, capaz de hablar con los ancestros, ayuda a una joven a descubrir la verdad sobre su linaje y a conectarse con su herencia espiritual."
py_10,Mbói Tata,Paraguay,Trabajo duro,"1. Un valiente pescador se aventura en el río, ignorando las advertencias de los aldeanos. Mbói Tata, enfurecida, lo atrapa con su poderoso cuerpo y lo arrastra a las profundidades, ofreciéndolo como sacrificio a los dioses del agua.

2. Mbói Tata, guardiana de la selva paraguaya, observa con tristeza cómo los incendios forestales amenazan su hogar. En su furia, exhala fuego sobre los intrusos, consumiendo todo a su paso y salvando la selva de la destrucción."
py_10,Mbói Tata,Paraguay,Opresión,"1. Los lugareños que queman los bosques para limpiar la tierra son castigados por Mbói Tata, que envuelve sus aldeas en llamas.

2. Mbói Tata protege a un joven que planta árboles para restaurar el bosque quemado, guiándolo a un manantial secreto para curar sus heridas."
py_11,Ka’a Pora,Paraguay,Desigualdad,"1. Ka'a Pora, protector de la naturaleza, observa cómo un poderoso terrateniente está destruyendo la selva para su beneficio personal. Decide intervenir y castigar al hombre, enseñándole una lección que nunca olvidará.
2. El espíritu de la selva se encuentra con una joven que comparte su amor y respeto por la naturaleza. Juntos, trabajan para proteger a los animales y plantas en peligro, enfrentando a aquellos que amenazan su hogar."
py_11,Ka’a Pora,Paraguay,Imposibilidad,"1. Ka'a Pora, guardián de la selva paraguaya, descubre una antigua profecía que predice la llegada de un destructor. Debe encontrar a un héroe para evitar la catástrofe.

2. El espíritu protector es convocado por un chamán para ayudar a una aldea asolada por una extraña enfermedad. Ka'a Pora debe aventurarse en el reino de los muertos para encontrar una cura."
py_12,Pira-Hú,Paraguay,Imaginación,"1. Pira-Hú, el guardián de las aguas, forma una alianza con una sirena para proteger juntos los ríos de los pescadores y de la contaminación humana.
2. La cabeza de caballo de Pira-Hú es en realidad una maldición lanzada por un hechicero. La única forma de romper el hechizo es que un valiente pescador se aventure en lo profundo de la selva para encontrar un antídoto mágico."
py_12,Pira-Hú,Paraguay,Supervivencia,"1. Pira-Hú protege a una joven pareja de pescadores que, sin saberlo, se adentraron en su territorio sagrado. Su aparición les advierte del peligro y les guía de regreso a la seguridad.
2. El pez de cabeza de caballo se enfrenta a un monstruo acuático aún más poderoso que amenaza con destruir la aldea cercana. Pira-Hú debe usar su fuerza y astucia para derrotar a esta nueva amenaza."
py_13,Urutau,Paraguay,Heroísmo,"1. Urutau, la guardiana de las almas perdidas: Dotada de una habilidad única para guiar a las almas en pena hacia su descanso eterno, Urutau ayuda a los espíritus de aquellos que murieron en la selva a encontrar la paz.

2. La curandera de corazones rotos: El canto de Urutau tiene el poder de sanar corazones rotos y consolar a aquellos que han perdido a sus seres queridos. Su canción melancólica trae consuelo y esperanza a los afligidos."
py_13,Urutau,Paraguay,Decepción,"1. Urutau, ave paraguaya, es testigo de un amor prohibido entre un curandero y una joven de otra tribu. Al ser descubiertos, el curandero es sentenciado a muerte y ella es obligada a casarse con otro. El canto triste de Urutau es su lamento por este trágico destino.

2. La triste canción de Urutau es el resultado de un corazón roto. Una vez fue amada por un guerrero valiente, pero él la dejó por otra mujer. Ahora, su canto nocturno es un recordatorio eterno de la traición y la pérdida."
py_14,Karau,Paraguay,Arrogancia,"1. Karau, arrogante y vanidoso, ignora las advertencias de su madre y se adentra en el bosque, donde es maldecido por una bruja. Su belleza se transforma en la de un ave, obligado a cantar su arrepentimiento en soledad.

2. La madre de Karau, una chamán poderosa, le advierte que su destino está ligado a la tierra. Pero él, desobedeciendo, se embarca en un viaje. Al regresar, descubre que se ha convertido en un ave, incapaz de volver a su forma humana."
py_14,Karau,Paraguay,Muerte,"1. Karau, al ignorar las advertencias de su madre, libera una antigua maldición familiar. Ahora debe enfrentarse a los espíritus oscuros que amenazan con destruir su aldea.

2. El joven, al desafiar a su madre, es transportado a un reino sobrenatural donde debe completar una peligrosa búsqueda para encontrar el camino a casa."
py_15,Las Lambaré,Paraguay,Convención y rebelión,"1. Las Lambaré protegen a un viajero perdido en el umbral del mundo espiritual, guiándolo de regreso a casa a salvo, pero a un costo: él debe casarse con una de ellas para mantener el equilibrio.

2. Las Lambaré se rebelan contra un poderoso chamán que intenta controlar sus fronteras, utilizando sus habilidades para manipular la percepción y crear ilusiones para confundir y frustrar sus planes."
py_15,Las Lambaré,Paraguay,Música,"1. Las Lambaré protegen a un músico paraguayo que, en su búsqueda por la perfección artística, se adentra en el mundo espiritual y queda atrapado en una batalla entre clanes.
2. Una joven Lambaré, guardiana de fronteras, se enamora de un músico humano y debe decidir entre su deber y su corazón, mientras fuerzas oscuras amenazan con destruir ambos mundos."
py_16,Suinda,Paraguay,Alegría,"1. Suinda, una mujer paraguaya, es maldecida por los espíritus de la selva por su negligencia maternal. Condenada a vagar como lechuza, su único consuelo es que sus lamentos nocturnos alertan a otras madres sobre los peligros de descuidar a sus hijos.
2. Los niños de Suinda son secuestrados por un espíritu maligno de la selva. En su desesperación por recuperarlos, ella hace un pacto con un poderoso curandero, quien le otorga el don de transformarse en lechuza para buscar a sus hijos en la noche."
py_16,Suinda,Paraguay,Ciclo de la vida,"1. Un curandero llamado Suinda descubre un antiguo ritual en la selva. Al utilizarlo, libera espíritus ancestrales que le otorgan el don de curar a los enfermos con solo tocarles.

2. Suinda, transformado en lechuza, vaga por las noches en busca de aquellos que, como él, han sido negligentes con sus responsabilidades. Al encontrarlos, les ofrece una segunda oportunidad, guiándolos hacia la redención."
py_17,Plata Yvyguy,Paraguay,Poder,"1. Un explorador se adentra en las profundidades de la tierra en busca de Plata Yvyguy. Descubre un espíritu guardián que le ofrece una elección: reclamar el tesoro y enfrentar la maldición o dejar una ofrenda y recibir una bendición.

2. Una familia paraguaya, custodio de un tesoro enterrado, debe luchar contra saqueadores que buscan robar sus riquezas. Un miembro de la familia, dotado de poderes sobrenaturales, se convierte en su protector."
py_17,Plata Yvyguy,Paraguay,Amor,"1. Un soldado brasileño herido en la selva es curado por Plata Yvyguy, un espíritu femenino que surge de los tesoros enterrados. Ella le pide que proteja esos tesoros de los codiciosos.

2. Una pareja paraguaya descubre un tesoro escondido, pero son advertidos por un anciano chamán de que el Plata Yvyguy está maldito. Ignoran la advertencia y pronto son atormentados por espíritus vengativos."
py_18,Yasy Yateré (versión colonial),Paraguay,Amor prohibido,"1. Yasy Yateré, un híbrido de duende y ángel, protege a una joven pareja de amantes clandestinos de la ira de los dioses y la Inquisición.
2. La Inquisición española captura a Yasy Yateré, pero su vara mágica lo transforma en un niño humano, permitiéndole escapar y buscar venganza."
py_18,Yasy Yateré (versión colonial),Paraguay,Tragedia,"1. Yasy Yateré, un niño desobediente, es secuestrado por una figura misteriosa, que resulta ser él mismo en el futuro, castigado por sus malas acciones.

2. La vara de castigo de Yasy Yateré cobra vida propia y se convierte en un instrumento de justicia, atacando a aquellos que desobedecen las leyes y la moral católica."
py_19,Jaguaru,Paraguay,Decepción,"1. Jaguaru, guardián desilusionado: En una remota aldea paraguaya, un joven chamán descubre que su capacidad de transformarse en Jaguaru, el jaguar sagrado, es manipulada por un hechicero oscuro, quien usa su poder para corromper a la comunidad.

2. La caza del espíritu maligno: Jaguaru, el espíritu guardián, es convocado por un chamán anciano para cazar a un espíritu maligno que acecha a la aldea. La decepción llega cuando descubren que la fuente del mal es uno de los suyos."
